Country,Region,length_flaccid,length_erect,circumf_flaccid,circumf_erect,volume_erect,volume_flaccid,Method,N,Source,growth_length,growth_circumf,growth_volume
Paraguay,South America,9.8,15.53,8.6,11.05,150.9,57.68,Measured,258,de Zarate G 1993,1.5846938775510202,1.2848837209302326,2.6161581137309295
Peru,South America,9.5,15.07,8.9,11.41,156.13,59.88,Self reported,1300,https://www.surveymonkey.com - 2015,1.5863157894736843,1.2820224719101123,2.607381429525718
Philippines,Southeast Asia,7.9,10.85,8.5,11.03,105.04,45.42,Measured,650,Genital size survey 2012 (http://genitalsize.com),1.3734177215189873,1.2976470588235294,2.3126376045794803
Poland,Europe,9.8,15.41,9.3,11.62,165.58,67.45,Self reported,808,https://www.surveymonkey.com - 2015,1.5724489795918366,1.2494623655913977,2.4548554484803558
Portugal,Europe,10.3,15.14,9,11.26,152.75,66.39,Self reported,894,Pereira N. Estudo do tamanho do pénis na população portuguesa. Rev Int Androl. 2004,1.4699029126213592,1.251111111111111,2.3007983129989458
Qatar,Western Asia,8.4,12.41,9,11.68,134.72,54.14,Measured,285,Shamsodini et all. Complications of penile augmentation ... Silicone (Doha 2012),1.4773809523809522,1.2977777777777777,2.4883635020317696
Romania,Europe,8.7,12.73,8.2,10.25,106.43,46.55,Measured,368,"Mario De Siati, Oscar Selvaggio et all. 2015",1.463218390804598,1.25,2.286358754027927
Russian Federation,Asia,9.6,14.16,9.4,11.73,155.04,67.5,Measured,273,"Presidential hospital of Russia, Moscow, Russia 2015",1.475,1.2478723404255319,2.2968888888888888
Samoa,Pacific Islands,8.9,12.87,9.5,12.1,149.95,63.92,Measured,86,Genital size measure survey 2015,1.446067415730337,1.2736842105263158,2.34590112640801
Saudi Arabia,Western Asia,8.4,12.4,9,11.61,133.01,54.14,Measured,880,Dr. Mohamed Habos. Masculine Genitals Behavior and Disease Clinic 2010,1.4761904761904763,1.29,2.4567787218322863
